site_id,avg_2022_adj,avg_2022_unadj,avg_2023_adj,avg_2023_unadj,avg_2024_adj,avg_2024_unadj,avg2022_24_adj,avg2022_24_unadj,yrs_over12_adj,yrs_over12_unadj,yrs_over9_adj,yrs_over9_unadj,over35_adj,over35_unadj,max_read_adj,max_read_unadj,min_read_adj,min_read_unadj,min_date_adj,max_date_adj,daily_cnt_adj,cnty_nm_adj
165203,,,9.368416666666667,8.26625,8.400404040404041,7.412121212121212,,,0.0,0.0,1.0,0.0,4.0,0.0,39.27,34.650000000000006,0.7933333333333332,0.7,October 2022,December 2024,807.0,Harris
166381,,,,,9.893706896551723,8.729741379310344,,,0.0,0.0,1.0,0.0,2.0,2.0,45.05,39.75,1.36,1.2000000000000002,June 2023,December 2024,487.0,Harris
166391,,,8.63130081300813,7.615853658536586,9.534430641821945,8.412732919254658,,,0.0,0.0,1.0,0.0,3.0,1.0,40.29,35.55,1.8133333333333332,1.6,June 2023,December 2024,527.0,Harris
166399,,,,,9.782697495183044,8.631791907514451,,,0.0,0.0,1.0,0.0,1.0,1.0,42.72666666666666,37.7,1.4166666666666665,1.25,June 2023,December 2024,524.0,Harris
166413,,,,,9.412587064676618,8.305223880597014,,,0.0,0.0,1.0,0.0,2.0,2.0,46.239999999999995,40.8,0.9633333333333334,0.8500000000000001,July 2023,December 2024,379.0,Harris
166421,,,,,12.039745762711863,10.623305084745763,,,1.0,0.0,1.0,1.0,5.0,2.0,49.92333333333333,44.05,2.833333333333333,2.5,August 2023,December 2024,505.0,Harris
166427,,,8.07544502617801,7.125392670157068,,,,,0.0,0.0,0.0,0.0,1.0,0.0,37.96666666666667,33.5,1.4166666666666665,1.25,June 2023,December 2024,348.0,Harris
166435,,,10.560649717514124,9.31822033898305,11.0736815920398,9.77089552238806,,,0.0,0.0,2.0,2.0,5.0,3.0,93.5,82.5,1.4733333333333332,1.2999999999999998,May 2023,December 2024,571.0,Harris
166441,,,9.934910569105691,8.76609756097561,10.960394857667586,9.670936639118457,,,0.0,0.0,2.0,1.0,3.0,2.0,45.9,40.5,2.55,2.25,June 2023,December 2024,568.0,Harris
173719,,,8.142808988764045,7.1848314606741575,8.116204986149585,7.161357340720222,,,0.0,0.0,0.0,0.0,4.0,3.0,58.76333333333333,51.849999999999994,0.85,0.75,January 2023,December 2024,717.0,Harris
180145,,,,,3.686365663322185,3.2526755852842806,,,0.0,0.0,0.0,0.0,0.0,0.0,21.136666666666663,18.65,0.3966666666666666,0.35,September 2023,December 2024,401.0,Liberty
181765,,,,,11.890636277302942,10.491737891737891,,,0.0,0.0,1.0,1.0,6.0,3.0,49.98,44.099999999999994,1.8133333333333332,1.6,May 2023,December 2024,440.0,Harris
186271,,,,,11.990826291079811,10.580140845070423,,,0.0,0.0,1.0,1.0,8.0,4.0,48.22333333333333,42.55,1.87,1.65,October 2023,December 2024,443.0,Harris
186277,,,,,11.041949860724234,9.742896935933148,,,0.0,0.0,1.0,1.0,3.0,2.0,50.03666666666666,44.15,1.643333333333333,1.45,November 2023,December 2024,404.0,Harris
186303,,,,,11.0844618599791,9.780407523510972,,,0.0,0.0,1.0,1.0,2.0,2.0,49.24333333333333,43.45,1.643333333333333,1.45,February 2024,December 2024,319.0,Harris
186315,,,,,10.214046948356808,9.012394366197183,,,0.0,0.0,1.0,1.0,3.0,3.0,51.11333333333333,45.1,1.36,1.2000000000000002,July 2023,December 2024,518.0,Harris
186327,,,,,11.103572796934865,9.797270114942528,,,0.0,0.0,1.0,1.0,3.0,3.0,61.370000000000005,54.15,1.8133333333333332,1.6,December 2023,December 2024,349.0,Harris
191215,,,,,11.396790633608815,10.05599173553719,,,0.0,0.0,1.0,1.0,4.0,1.0,45.33333333333333,40.0,2.2666666666666666,2.0,August 2023,December 2024,391.0,Harris
194469,,,,,9.775236768802229,8.625208913649024,,,0.0,0.0,1.0,0.0,2.0,2.0,85.11333333333333,75.1,0.7366666666666666,0.6499999999999999,October 2023,December 2024,428.0,Harris
199057,,,,,10.574700374531835,9.330617977528089,,,0.0,0.0,1.0,1.0,2.0,1.0,45.163333333333334,39.85,0.85,0.75,November 2023,December 2024,394.0,Montgomery
208397,,,,,8.626491228070176,7.6116099071207435,,,0.0,0.0,0.0,0.0,2.0,1.0,41.99,37.05,1.1333333333333333,1.0,February 2024,December 2024,323.0,Harris
480391012,,,7.5125,7.5125,7.948333333333334,7.948333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,31.8,31.8,0.8,0.8,January 2023,December 2024,116.0,
